date,open,close
2023-01-02,100.0000,100.0000
2023-01-03,101.2910,100.9545
2023-01-04,102.2410,101.8773
2023-01-05,102.7954,102.7389
2023-01-06,103.2106,103.5133
2023-01-09,103.7962,104.1798
2023-01-10,104.6124,104.7242
2023-01-11,105.4025,105.1397
2023-01-12,105.8229,105.4271
2023-01-13,105.7599,105.5951
2023-01-16,105.4415,105.6591
2023-01-17,105.2407,105.6407
2023-01-18,105.3515,105.5661
2023-01-19,105.6327,105.4646
2023-01-20,105.7627,105.3664
2023-01-23,105.5611,105.3010
2023-01-24,105.1801,105.2953
2023-01-25,104.9869,105.3715
2023-01-26,105.2459,105.5463
2023-01-27,105.8892,105.8293
2023-01-30,106.5878,106.2226
2023-01-31,107.0555,106.7208
2023-02-01,107.3073,107.3108
2023-02-02,107.6347,107.9732
2023-02-03,108.3205,108.6828
2023-02-06,109.3579,109.4108
2023-02-07,110.4312,110.1262
2023-02-08,111.1803,110.7978
2023-02-09,111.5043,111.3960
2023-02-10,111.6293,111.8947
2023-02-13,111.8779,112.2731
2023-02-14,112.3550,112.5166
2023-02-15,112.8386,112.6181
2023-02-16,112.9778,112.5779
2023-02-17,112.6158,112.4042
2023-02-20,111.9411,112.1124
2023-02-21,111.3274,111.7241
2023-02-22,111.0082,111.2656
2023-02-23,110.8852,110.7666
2023-02-24,110.6436,110.2581
2023-02-27,110.0687,109.7706
2023-02-28,109.2687,109.3321
2023-03-01,108.5999,108.9665
2023-03-02,108.3593,108.6920
2023-03-03,108.5271,108.5200
2023-03-06,108.7950,108.4546
2023-03-07,108.8528,108.4921
2023-03-08,108.6706,108.6212
2023-03-09,108.5168,108.8241
2023-03-10,108.6957,109.0772
2023-03-13,109.2481,109.3531
2023-03-14,109.8897,109.6216
2023-03-15,110.2470,109.8523
2023-03-16,110.1746,110.0162
2023-03-17,109.8640,110.0876
2023-03-20,109.6456,110.0455
2023-03-21,109.6667,109.8753
2023-03-22,109.7442,109.5697
2023-03-23,109.5261,109.1289
2023-03-24,108.8156,108.5609
2023-03-27,107.7590,107.8809
2023-03-28,106.7239,107.1104
2023-03-29,105.9803,106.2760
2023-03-30,105.4747,105.4078
2023-03-31,104.9054,104.5374
2023-04-03,104.0269,103.6962
2023-04-04,102.9027,102.9133
2023-04-05,101.8716,102.2138
2023-04-06,101.2582,101.6174
2023-04-07,101.0911,101.1370
2023-04-10,101.0879,100.7783
2023-04-11,100.9195,100.5391
2023-04-12,100.5111,100.4096
2023-04-13,100.1026,100.3733
2023-04-14,100.0137,100.4078
2023-04-17,100.3312,100.4863
2023-04-18,100.8058,100.5794
2023-04-19,101.0567,100.6569
2023-04-20,100.8954,100.6898
2023-04-21,100.4745,100.6521
2023-04-24,100.1249,100.5224
2023-04-25,100.0335,100.2855
2023-04-26,100.0583,99.9330
2023-04-27,99.8516,99.4643
2023-04-28,99.1797,98.8865
2023-05-01,98.1434,98.2138
2023-05-02,97.0978,97.4672
2023-05-03,96.3438,96.6725
2023-05-04,95.8736,95.8595
2023-05-05,95.4035,95.0595
2023-05-08,94.6615,94.3039
2023-05-09,93.6644,93.6221
2023-05-10,92.7277,93.0395
2023-05-11,92.1972,92.5765
2023-05-12,92.1486,92.2467
2023-05-15,92.3297,92.0564
2023-05-16,92.3974,92.0039
2023-05-17,92.2322,92.0803
2023-05-18,92.0401,92.2694
2023-05-19,92.1494,92.5491
2023-05-22,92.6900,92.8925
2023-05-23,93.4509,93.2700
2023-05-24,94.0489,93.6510
2023-05-25,94.2546,94.0054
2023-05-26,94.1777,94.3063
2023-05-29,94.1427,94.5309
2023-05-30,94.3716,94.6624
2023-05-31,94.7649,94.6910
2023-06-01,94.9849,94.6142
2023-06-02,94.7640,94.4373
2023-06-05,94.1554,94.1731
2023-06-06,93.4950,93.8408
2023-06-07,93.1091,93.4651
2023-06-08,93.0354,93.0743
2023-06-09,93.0130,92.6990
2023-06-12,92.7481,92.3699
2023-06-13,92.2105,92.1158
2023-06-14,91.6863,91.9622
2023-06-15,91.5363,91.9291
2023-06-16,91.8817,92.0303
2023-06-19,92.5044,92.2722
2023-06-20,93.0530,92.6535
2023-06-21,93.3647,93.1653
2023-06-22,93.6073,93.7913
2023-06-23,94.1111,94.5094
2023-06-26,95.0460,95.2924
2023-06-27,96.2422,96.1102
2023-06-28,97.3202,96.9311
2023-06-29,98.0127,97.7243
2023-06-30,98.3840,98.4614
2023-07-03,98.7461,99.1181
2023-07-04,99.3515,99.6761
2023-07-05,100.1450,100.1237
2023-07-06,100.8044,100.4568
2023-07-07,101.0332,100.6788
2023-07-10,100.8362,100.8009
2023-07-11,100.5245,100.8407
2023-07-12,100.4445,100.8215
2023-07-13,100.6796,100.7708
2023-07-14,100.9967,100.7182
2023-07-17,101.0860,100.6939
2023-07-18,100.8718,100.7265
2023-07-19,100.6063,100.8414
2023-07-20,100.6596,101.0590
2023-07-21,101.1969,101.3933
2023-07-24,102.0385,101.8514
2023-07-25,102.8311,102.4325
2023-07-26,103.3719,103.1283
2023-07-27,103.7878,103.9231
2023-07-28,104.4052,104.7951
2023-07-31,105.4314,105.7174
2023-08-01,106.7407,106.6598
2023-08-02,107.9640,107.5907
2023-08-03,108.8012,108.4786
2023-08-04,109.2699,109.2947
2023-08-07,109.6645,110.0138
2023-08-08,110.2641,110.6168
2023-08-09,111.0590,111.0908
2023-08-10,111.7491,111.4308
2023-08-11,112.0150,111.6392
2023-08-14,111.8140,111.7262
2023-08-15,111.4278,111.7088
2023-08-16,111.2183,111.6096
2023-08-17,111.3140,111.4559
2023-08-18,111.5154,111.2774
2023-08-21,111.5035,111.1044
2023-08-22,111.1595,110.9662
2023-08-23,110.6987,110.8889
2023-08-24,110.4952,110.8941
2023-08-25,110.7564,110.9972
2023-08-28,111.3451,111.2064
2023-08-29,111.9133,111.5226
2023-08-30,112.2223,111.9389
